iter	Passed	Remaining
1337	77510	154209
1338	77569	154154
1339	77627	154095
1340	77682	154031
1341	77732	153958
1342	77790	153901
1343	77857	153860
1344	77916	153805
1345	77972	153744
1346	78025	153676
1347	78080	153612
1348	78133	153545
1349	78192	153488
1350	78251	153433
1351	78317	153391
1352	78384	153350
1353	78449	153307
1354	78503	153241
1355	78560	153181
1356	78624	153134
1357	78676	153065
1358	78731	153001
1359	78782	152931
1360	78838	152869
1361	78903	152823
1362	78957	152759
1363	79024	152718
1364	79080	152656
1365	79137	152597
1366	79198	152545
1367	79251	152478
1368	79311	152424
1369	79365	152358
1370	79419	152293
1371	79477	152235
1372	79536	152179
1373	79603	152138
1374	79659	152077
1375	79719	152023
1376	79788	151987
1377	79856	151946
1378	79920	151901
1379	79986	151859
1380	80045	151803
1381	80098	151735
1382	80158	151680
1383	80218	151627
1384	80277	151570
1385	80338	151518
1386	80399	151465
1387	80454	151402
1388	80505	151331
1389	80562	151272
1390	80618	151210
1391	80677	151154
1392	80730	151087
1393	80777	151008
1394	80845	150970
1395	80905	150914
1396	80958	150847
1397	81019	150795
1398	81078	150740
1399	81134	150679
1400	81187	150610
1401	81238	150540
1402	81293	150476
1403	81354	150424
1404	81411	150364
1405	81471	150310
1406	81531	150257
1407	81584	150189
1408	81645	150137
1409	81712	150096
1410	81772	150041
1411	81837	149995
1412	81890	149929
1413	81943	149863
1414	81994	149791
1415	82055	149740
1416	82117	149689
1417	82173	149626
1418	82221	149550
1419	82284	149503
1420	82339	149440
1421	82404	149393
1422	82460	149333
1423	82519	149276
1424	82574	149213
1425	82638	149166
1426	82692	149101
1427	82753	149048
1428	82806	148982
1429	82868	148930
1430	82931	148882
1431	82984	148815
1432	83035	148744
1433	83103	148705
1434	83157	148640
1435	83217	148586
1436	83274	148526
1437	83329	148463
1438	83384	148399
1439	83439	148337
1440	83499	148283
1441	83551	148214
1442	83608	148154
1443	83666	148096
1444	83724	148039
1445	83787	147989
1446	83840	147924
1447	83901	147871
1448	83963	147819
1449	84032	147781
1450	84096	147734
1451	84151	147671
1452	84205	147605
1453	84262	147546
1454	84314	147477
1455	84369	147415
1456	84433	147366
1457	84491	147308
1458	84549	147251
1459	84601	147182
1460	84652	147112
1461	84711	147056
1462	84769	146999
1463	84842	146967
1464	84896	146903
1465	84951	146839
1466	85006	146777
1467	85069	146727
1468	85139	146689
1469	85209	146653
1470	85284	146623
1471	85347	146575
1472	85436	146570
1473	85496	146515
1474	85563	146473
1475	85633	146435
1476	85691	146378
1477	85750	146321
1478	85802	146253
1479	85863	146199
1480	85921	146142
1481	85985	146094
1482	86045	146040
1483	86106	145986
1484	86162	145925
1485	86240	145900
1486	86303	145850
1487	86380	145825
1488	86475	145828
